syn,urg,cwr,ecn,ack,push,reset,fin,ns,res,srcbytes,dstbytes,wrong,duration,srcip,srcport,dstip,dstport,type,sample_rate
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,172.16.112.100,1074,172.16.114.50,80,6,1000
2,0,0,0,8,3,0,1,0,0,410,1433,0,0.356823,172.16.112.100,1147,207.68.36.30,80,6,1000
2,0,0,0,4,1,0,0,0,0,318,0,0,0.134346,172.16.112.100,1211,204.202.129.234,80,6,1000
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,172.16.114.148,20,197.182.91.233,1170,6,1000
2,0,0,0,5,2,0,0,0,0,69,0,0,0.021592,172.16.113.84,3201,192.168.1.20,6667,6,1000
2,0,0,0,13,10,0,1,0,0,624,321,0,0.044834,206.48.44.18,1081,172.16.112.100,139,6,1000
2,0,0,0,997,993,0,0,0,0,75774,103497,0,1.103583,206.48.44.18,1083,172.16.112.100,139,6,1000
2,0,0,0,9,1,0,0,0,0,257,5840,0,0.09156399999999999,172.16.112.194,4238,205.131.175.20,80,6,1000
2,0,0,0,7,2,0,1,0,0,400,330,0,0.0671,172.16.115.87,4672,205.181.112.67,80,6,1000
2,0,0,0,13,11,0,0,0,0,160,281,0,3.996692,135.8.60.182,2072,172.16.113.204,25,6,1000
2,0,0,0,9,2,0,2,0,0,355,601,0,0.07432000000000001,172.16.115.87,6260,205.181.112.67,80,6,1000
2,0,0,0,1,0,0,0,0,0,0,0,0,0.00596,172.16.115.87,6569,140.244.2.155,80,6,1000
2,0,0,0,27,16,0,2,0,0,1517,393,0,1.1815870000000002,196.227.33.189,2125,172.16.113.50,25,6,1000
2,0,0,0,15,12,0,0,0,0,1157,287,0,0.07890599999999999,172.16.112.194,7056,196.227.33.189,25,6,1000
2,0,0,0,752,492,0,0,0,0,325,1938,0,388.997194,172.16.114.169,7332,196.227.33.189,23,6,1000
0,0,0,0,511,339,0,0,0,0,171,264,0,398.757633,172.16.114.169,7332,196.227.33.189,23,6,1000
0,0,0,0,77,51,0,0,0,0,26,57,0,181.45198000000005,172.16.114.169,7332,196.227.33.189,23,6,1000
0,0,0,0,1560,1026,0,0,0,0,523,2633,0,2344.158188,172.16.114.169,7332,196.227.33.189,23,6,1000
0,0,0,0,992,652,0,0,0,0,344,753,0,1337.299347,172.16.114.169,7332,196.227.33.189,23,6,1000
0,0,0,0,1135,748,0,0,0,0,391,679,0,1748.9937639999996,172.16.114.169,7332,196.227.33.189,23,6,1000
0,0,0,0,508,337,0,0,0,0,172,172,0,106.2577419999998,172.16.114.169,7332,196.227.33.189,23,6,1000
0,0,0,0,771,512,0,0,0,0,260,260,0,421.491779,172.16.114.169,7332,196.227.33.189,23,6,1000
0,0,0,0,206,137,0,0,0,0,70,69,0,39.33203500000036,172.16.114.169,7332,196.227.33.189,23,6,1000
0,0,0,0,148,99,0,0,0,0,50,51,0,25.477291000000147,172.16.114.169,7332,196.227.33.189,23,6,1000
0,0,0,0,1013,665,0,0,0,0,338,633,0,879.2335670000003,172.16.114.169,7332,196.227.33.189,23,6,1000
0,0,0,0,236,157,0,0,0,0,79,110,0,210.48600999999957,172.16.114.169,7332,196.227.33.189,23,6,1000
0,0,0,0,126,84,0,0,0,0,42,74,0,49.33047799999986,172.16.114.169,7332,196.227.33.189,23,6,1000
0,0,0,0,248,163,0,0,0,0,84,146,0,27.253394000000302,172.16.114.169,7332,196.227.33.189,23,6,1000
0,0,0,0,293,194,0,0,0,0,99,191,0,84.95021099999941,172.16.114.169,7332,196.227.33.189,23,6,1000
0,0,0,0,1941,1282,0,0,0,0,651,1352,0,1764.0137649999995,172.16.114.169,7332,196.227.33.189,23,6,1000
